Site_ID,Natural Community,Macrogroup,Plot_ID,SP_Richness,EIA_score_NOSIZE,EIA_RANK_NOSIZE,cwCOC,cwFQI,avCOC,Percent_native plants,Plot number,OLDcwCOC,OLD_cwFQI,OLDavCOC,Size (m^2),Region
44,Red maple - sensitive fern swamp,Northern swamp,73,39,3.49,B,3.713513514,23.19088446,4.179487179,1,1,3,18.734994,3.358974359,400,58
49,Red maple - sensitive fern swamp,Northern swamp,78,18,3.49,B,3.853211009,16.3477898,4.111111111,1,1,3.197247706,13.56477321,3.5,400,82
49,Red maple - sensitive fern swamp,Northern swamp,79,20,3.49,B,3.885416667,17.37611158,4,1,2,3.385416667,15.1400436,3.3,400,82
37,Red maple - sensitive fern swamp,Northern swamp,59,32,3.512564923,A,3.993006993,22.58785858,4.53125,1,2,3.461538462,19.58141856,4.15625,400,82
47,Red maple - sensitive fern swamp,Northern swamp,76,46,3.545,A,4.66969697,31.67142577,4.5,0.993939394,1,3.527272727,23.92312758,3.565217391,400,58
158,Leatherleaf boggy fen,Northern Peatland & Fens,226,6,3.558906235,A,6.2,15.18683641,7,1,,5.15,12.61487218,5.666666667,,58
135,Hardwood seepage forest,Northern swamp,192,9,3.591666667,A,5.076923077,15.23076923,5.333333333,1,1,4.837606838,14.51282051,4.666666667,,58
134,Hardwood river terrace forest,Large river floodplain,191,25,3.615,A,4.138461538,20.69230769,4.68,1,1,3.333333333,16.66666667,4,400,58
145,Unpatterned fen ecosystem,,208,17,3.618333333,A,6.563758389,27.06306914,6.823529412,1,1,5.348993289,22.05446432,5.823529412,400,58
18,Hardwood river terrace forest,Large river floodplain,24,33,3.687564923,A,4.104938272,23.58107506,4.090909091,1,2,3.802469136,21.84352216,3.939393939,400,82
18,Hardwood river terrace forest,Large river floodplain,104,18,3.687564923,A,4.804878049,20.38537111,4.666666667,1,3,4.609756098,19.55753878,4.444444444,400,82
70,Silver maple floodplain forest,Large river floodplain,102,16,3.70372842,A,5.253623188,21.01449275,4.6875,1,1,5.188405797,20.75362319,4.25,400,58
70,Silver maple floodplain forest,Large river floodplain,103,34,3.70372842,A,4.479381443,26.11905771,4.441176471,0.948453608,2,4.170103093,24.31567053,3.911764706,400,58
70,Silver maple floodplain forest,Large river floodplain,112,23,3.70372842,A,4.271186441,20.48389057,4.173913043,0.994350282,3,3.666666667,17.58471559,3.608695652,400,58
43,Red maple - sensitive fern swamp,Northern swamp,72,41,3.743333333,A,3.497461929,22.39468325,4.12195122,1,1,2.487309645,15.92655267,3.219512195,400,59
18,Silver maple floodplain forest,Large river floodplain,23,30,3.784704764,A,3.765060241,20.62208424,3.633333333,1,1,3.210843373,17.58651344,3.366666667,400,82
158,Mixed graminoid - shrub marsh,Wet Meadow / Shrub Marsh,225,14,3.798333333,A,5.815789474,21.76069164,5.428571429,1,,5,18.70828693,4.857142857,,58
41,Red maple - sensitive fern swamp,Northern swamp,68,35,3.871666667,A,3.978947368,23.53977008,4.857142857,1,1,3.094736842,18.30871007,3.485714286,400,59
41,Red maple - sensitive fern swamp,Northern swamp,69,30,3.871666667,A,4.013274336,21.98160883,4.833333333,1,2,2.982300885,16.33473468,3.6,400,59
156,Leatherleaf boggy fen,Northern Peatland & Fens,220,18,3.88,A,6.126865672,25.99408958,5.833333333,1,1,4.895522388,20.76994247,4.666666667,,58
151,Red maple - sensitive fern swamp,Northern swamp,210,13,,,4.49068323,16.19138865,4.692307692,1,1,3.093167702,11.15257475,3.384615385,,59
35,Alder floodplain,Large river floodplain,55,44,,,4.176954733,27.70678323,3.886363636,0.95473251,3,4.127572016,27.37921535,3.636363636,400,82
38,Alder floodplain,Large river floodplain,60,31,,,3.617346939,20.14053537,4.290322581,1,1,2.734693878,15.22613111,3.612903226,400,58
125,Black spruce bog,Boreal forested peatland,179,13,,,6.010989011,21.6729291,5.769230769,1,1,5.868131868,21.15785034,5.230769231,,82
12,Bluejoint meadow,Emergent marsh,17,25,,,2.561904762,12.80952381,2.76,0.923809524,1,2.40952381,12.04761905,2.52,400,82
92,Cedar - spruce seepage forest,Northern swamp,140,16,,,4.306122449,17.2244898,4.875,1,1,3.459183673,13.83673469,4.1875,,58
33,disturbed Hardwood river terrace forest,Large river floodplain,47,32,,,3.966666667,22.43885519,4.25,0.84,1,2.846666667,16.10317843,3.75,400,58
29,Hardwood river terrace forest,Large river floodplain,38,34,,,4.788888889,27.92378074,4.411764706,0.994444444,1,4.711111111,27.47026226,4.058823529,400,82
36,Hardwood river terrace forest,Large river floodplain,56,10,,,4.820809249,15.24473739,4.5,0.98265896,Overall,4.312138728,13.63617997,4.4,,82
63,Hardwood river terrace forest,Large river floodplain,94,17,,,4.918781726,20.28065661,4.529411765,1,1,4.868020305,20.0713619,4.294117647,400,82
64,Hardwood river terrace forest,Large river floodplain,95,18,,,3.104651163,13.17191934,3.444444444,0.941860465,1,2.511627907,10.65593475,3.111111111,400,82
64,Hardwood river terrace forest,Large river floodplain,96,15,,,3.484076433,13.49377,2.466666667,0.904458599,2,3.464968153,13.41976395,2.4,400,82
68,Hardwood river terrace forest,Large river floodplain,100,25,,,4.34562212,21.7281106,3.88,0.986175115,1,4.152073733,20.76036866,3.48,,82
76,Hardwood river terrace forest,Large river floodplain,115,23,,,3.678321678,17.64061106,3.826086957,0.979020979,2,3.097902098,14.85701654,3.52173913,400,82
97,Hardwood river terrace forest,Large river floodplain,213,11,,,3.913978495,12.9811981,3.818181818,0.989247312,2,2.311827957,7.667465913,3,,58
166,Hardwood river terrace forest,Large river floodplain,236,13,,,3.73964497,13.48348169,3.846153846,1,1,2.603550296,9.38723409,3.076923077,,58
31,High Gradient Floodplain Forest,Large river floodplain,42,45,,,4.6,30.85773809,4.422222222,0.981395349,1,3.841860465,25.77198348,3.688888889,400,58
112,High Gradient Floodplain Forest,Large river floodplain,166,37,,,4.741176471,28.83945058,4.594594595,0.994117647,"1
1",4.370588235,26.58525035,4.027027027,400,58
112,High Gradient Floodplain Forest,Large river floodplain,168,29,,,4.440559441,23.91314442,4.655172414,1,2,3.594405594,19.35646651,3.793103448,400,58
126,Leatherleaf boggy fen,Northern Peatland & Fens,181,12,,,6.377358491,22.09181785,6.333333333,1,2,5.962264151,20.65388888,5.833333333,,82
99,Mid-successional forest,,150,20,,,4.050724638,18.1153913,4.45,1,1,3.31884058,14.84230629,3.6,400,58
